C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/6/20,野菜サラダ,サラダ油,2.8,25,0,2.8,0
2023/6/21,カレーうどん,干しうどん,40,133,3.4,0.4,202
2023/6/21,カレーうどん,豚肉,15,27,3,1.8,7
2023/6/21,カレーうどん,人参,15,4,0.1,0,5
2023/6/21,カレーうどん,玉ねぎ,40,12,0.4,0,1
2023/6/21,カレーうどん,油,1,9,0,1,0
2023/6/21,カレーうどん,小松菜,15,2,0.2,0,2
2023/6/21,カレーうどん,かつお節,1.8,0,0,0,0
2023/6/21,カレーうどん,カレー粉,0.6,2,0.1,0.1,0
2023/6/21,カレーうどん,塩,0.5,0,0,0,195
2023/6/21,カレーうどん,しょうゆ,6.5,5,0.5,0,371
2023/6/21,カレーうどん,水,100～120,0,0,0,0
2023/6/21,カレーうどん,米粉,2.5,9,0.2,0,0
2023/6/21,カレーうどん,水,,0,0,0,0
2023/6/21,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/21,とり肉とじゃがいものから揚げ,鶏肉,50,81,9.5,5.1,26
2023/6/21,とり肉とじゃがいものから揚げ,塩,0.4,0,0,0,156
2023/6/21,とり肉とじゃがいものから揚げ,こしょう,0.03,0,0,0,0
2023/6/21,とり肉とじゃがいものから揚げ,白ワイン,0.5,0,0,0,0
2023/6/21,とり肉とじゃがいものから揚げ,片栗粉,6,20,0,0,0
2023/6/21,とり肉とじゃがいものから揚げ,じゃがいも,80,42,1.3,0.1,1
2023/6/21,とり肉とじゃがいものから揚げ,油,35,40,0,4.5,0
2023/6/21,とり肉とじゃがいものから揚げ,塩,0.08,0,0,0,31
2023/6/21,ヨーグルト,ヨーグルト（鉄）,80,68,2.3,1.1,31
2023/6/22,ハヤシライス,米,70,239,4.3,0.6,1
2023/6/22,ハヤシライス,麦,10,33,0.7,0.2,0
2023/6/22,ハヤシライス,油,0.3,3,0,0.3,0
2023/6/22,ハヤシライス,酒,1,1,0,0,0
2023/6/22,ハヤシライス,水,,0,0,0,0
2023/6/22,ハヤシライス,豚肉,30,55,6,3.5,15
2023/6/22,ハヤシライス,人参,12,3,0.1,0,4
2023/6/22,ハヤシライス,玉ねぎ,50,16,0.5,0,1
2023/6/22,ハヤシライス,じゃがいも,40,21,0.6,0,0
2023/6/22,ハヤシライス,油,0.7,6,0,0.7,0
2023/6/22,ハヤシライス,グリンピース,2,2,0.1,0,0
2023/6/22,ハヤシライス,油,5,44,0,5,0
2023/6/22,ハヤシライス,小麦粉,6,21,0.5,0.1,0
2023/6/22,ハヤシライス,濃縮スープ（ポーク）,2,1,0.1,0.1,2
2023/6/22,ハヤシライス,トマトケチャップ,10,11,0.2,0,120
2023/6/22,ハヤシライス,デミグラスソース,5,4,0.1,0.2,26
2023/6/22,ハヤシライス,中濃ソース,3,4,0,0,69
