A日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/5/26,たけのこごはん,酒,1.5,2,0,0,0
2022/5/26,たけのこごはん,水,,0,0,0,0
2022/5/26,たけのこごはん,たけのこ,15,5,0.5,0,0
2022/5/26,たけのこごはん,冷凍油揚げ,10,42,2.3,3.4,0
2022/5/26,たけのこごはん,しょうゆ,3.5,3,0.3,0,200
2022/5/26,たけのこごはん,塩,0.35,0,0,0,137
2022/5/26,たけのこごはん,かつお節,1,0,0,0,0
2022/5/26,たけのこごはん,水,,0,0,0,0
2022/5/26,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/26,とり肉のおろしポン酢がけ,鶏肉,60,97,11.4,6.1,31
2022/5/26,とり肉のおろしポン酢がけ,塩,0.1,0,0,0,39
