B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）,,,,,,,,,
2023/11/20,肉みそスパゲッティ,もやし,45,7,0.7,0,1,,,,,,,,,
2023/11/20,肉みそスパゲッティ,干し椎茸,0.4,1,0.1,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,油,1,9,0,1,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,赤みそ,11,20,1.4,0.6,561,,,,,,,,,
2023/11/20,肉みそスパゲッティ,さとう,2,8,0,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,酒,1.8,2,0,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,みりん,1.5,4,0,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,豆板醤,0.25,0,0,0,18,,,,,,,,,
2023/11/20,肉みそスパゲッティ,片栗粉,1.3,4,0,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,水,10,0,0,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,ごま油,0.5,4,0,0.5,0,,,,,,,,,
